Drug Name,Description,,,,,,,,,,,,,,,,,,,,,,,,
Fosinopril,"Avoid hypertensive herbs (e.g. bayberry, blue cohosh, cayenne, ephedra, and licorice).",,,,,,,,,,,,,,,,,,,,,,,,
Fosinopril,Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.,,,,,,,,,,,,,,,,,,,,,,,,
Fosinopril,Limit salt intake. Salt may attenuate the antihypertensive effect.,,,,,,,,,,,,,,,,,,,,,,,,
Fosinopril,Take separate from antacids. Take at least 2 hours before or after antacids. Taking this medication with antacids can reduce absorption.Taking this medication with antacids can reduce absorption.,,,,,,,,,,,,,,,,,,,,,,,,
Fosinopril,Take with or without food. The absorption is unaffected by food.,,,,,,,,,,,,,,,,,,,,,,,,
Benazepril,"Avoid hypertensive herbs (e.g. bayberry, blue cohosh, cayenne, ephedra, and licorice). Additive hypertensive effects may occur.",,,,,,,,,,,,,,,,,,,,,,,,
Enalapril,Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.,,,,,,,,,,,,,,,,,,,,,,,,
Enalapril,Take with or without food. The absorption is unaffected by food.,,,,,,,,,,,,,,,,,,,,,,,,
Captopril,"Avoid hypertensive herbs (e.g. bayberry, blue cohosh, cayenne, ephedra, and licorice).",,,,,,,,,,,,,,,,,,,,,,,,
Captopril,Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.,,,,,,,,,,,,,,,,,,,,,,,,
Captopril,Take separate from meals. The presence of food decreases absorption. Take one hour prior to meals.,,,,,,,,,,,,,,,,,,,,,,,,
Captopril,Limit salt intake. Salt may attenuate the antihypertensive effect.,,,,,,,,,,,,,,,,,,,,,,,,
Ramipril,Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.,,,,,,,,,,,,,,,,,,,,,,,,
Ramipril,Take with or without food. The absorption is unaffected by food.,,,,,,,,,,,,,,,,,,,,,,,,
Moexipril,"Avoid hypertensive herbs (e.g. bayberry, blue cohosh, cayenne, ephedra, and licorice).",,,,,,,,,,,,,,,,,,,,,,,,
Moexipril,Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.,,,,,,,,,,,,,,,,,,,,,,,,
Moexipril,Limit salt intake. Salt may attenuate the antihypertensive effect.,,,,,,,,,,,,,,,,,,,,,,,,
Moexipril,Take separate from meals. Take 1 hour before meals.,,,,,,,,,,,,,,,,,,,,,,,,
Lisinopril,"Avoid hypertensive herbs (e.g. bayberry, blue cohosh, cayenne, ephedra, and licorice).",,,,,,,,,,,,,,,,,,,,,,,,
Lisinopril,Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.,,,,,,,,,,,,,,,,,,,,,,,,
Lisinopril,Limit salt intake. Salt may attenuate the antihypertensive effect.,,,,,,,,,,,,,,,,,,,,,,,,
Lisinopril,Take with or without food. The absorption is unaffected by food.,,,,,,,,,,,,,,,,,,,,,,,,
Quinapril,Avoid fatty foods.,,,,,,,,,,,,,,,,,,,,,,,,
Quinapril,"Avoid hypertensive herbs (e.g. bayberry, blue cohosh, cayenne, ephedra, and licorice).",,,,,,,,,,,,,,,,,,,,,,,,
Quinapril,Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.,,,,,,,,,,,,,,,,,,,,,,,,
Quinapril,Limit salt intake. Salt may attenuate the antihypertensive effect.,,,,,,,,,,,,,,,,,,,,,,,,
Trandolapril,"Avoid hypertensive herbs (e.g. bayberry, blue cohosh, cayenne, ephedra, and licorice).",,,,,,,,,,,,,,,,,,,,,,,,
Trandolapril,Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.,,,,,,,,,,,,,,,,,,,,,,,,
Trandolapril,Limit salt intake. Salt may attenuate the antihypertensive effect.,,,,,,,,,,,,,,,,,,,,,,,,
Trandolapril,Take with or without food. The absorption is unaffected by food.,,,,,,,,,,,,,,,,,,,,,,,,
Losartan,Take at the same time every day.,,,,,,,,,,,,,,,,,,,,,,,,
Losartan,"Take with or without food. Food delays absorption, but does not affect the extent of absorption.",,,,,,,,,,,,,,,,,,,,,,,,
Candesartan cilexetil,Take at the same time every day.,,,,,,,,,,,,,,,,,,,,,,,,
Candesartan cilexetil,Take with or without food. The absorption is unaffected by food.,,,,,,,,,,,,,,,,,,,,,,,,
Eprosartan,Take with or without food. The absorption is unaffected by food.,,,,,,,,,,,,,,,,,,,,,,,,
Irbesartan,Take with or without food. The absorption is unaffected by food.,,,,,,,,,,,,,,,,,,,,,,,,
Valsartan,"Take with or without food. Co-administration with food slightly alters pharmacokinetics, but not to a clinically significant extent.",,,,,,,,,,,,,,,,,,,,,,,,
Olmesartan,Take with or without food. Food does not affect absorption.,,,,,,,,,,,,,,,,,,,,,,,,
Amlodipine,Avoid natural licorice.,,,,,,,,,,,,,,,,,,,,,,,,
Amlodipine,Avoid grapefruit products.,,,,,,,,,,,,,,,,,,,,,,,,
Amlodipine,Take with or without food. The absorption is unaffected by food.,,,,,,,,,,,,,,,,,,,,,,,,
Telmisartan,Take with or without food. Bioavailability may be slightly reduced by taking telmisartan with food.,,,,,,,,,,,,,,,,,,,,,,,,
Felodipine,Avoid grapefruit products.,,,,,,,,,,,,,,,,,,,,,,,,
Felodipine,Take with or without food. The absorption is unaffected by food.,,,,,,,,,,,,,,,,,,,,,,,,
Doxazosin,Avoid alcohol.,,,,,,,,,,,,,,,,,,,,,,,,
Doxazosin,Take with or without food.,,,,,,,,,,,,,,,,,,,,,,,,
Nicardipine,Avoid grapefruit products.,,,,,,,,,,,,,,,,,,,,,,,,
Nicardipine,Take with or without food. The absorption is unaffected by food.,,,,,,,,,,,,,,,,,,,,,,,,
Nisoldipine,Avoid grapefruit products.,,,,,,,,,,,,,,,,,,,,,,,,
Nimodipine,Avoid grapefruit products.,,,,,,,,,,,,,,,,,,,,,,,,
Nimodipine,Take with or without food. Take consistently at the same time in regard to meals.,,,,,,,,,,,,,,,,,,,,,,,,
Isradipine,Take with or without food.,,,,,,,,,,,,,,,,,,,,,,,,
Mexiletine,Take with food. Food reduces irritation.,,,,,,,,,,,,,,,,,,,,,,,,
Prazosin,Avoid alcohol.,,,,,,,,,,,,,,,,,,,,,,,,
Prazosin,Avoid natural licorice.,,,,,,,,,,,,,,,,,,,,,,,,
Prazosin,Take with or without food. The absorption is unaffected by food.,,,,,,,,,,,,,,,,,,,,,,,,
Amiodarone,"Avoid grapefruit products. Grapefruit inhibits CYP3A4 metabolism, which may increase the serum concentration of amiodarone.",,,,,,,,,,,,,,,,,,,,,,,,
Amiodarone,Avoid St. John's Wort. This herb induces the CYP3A4 metabolism of amiodarone. Therefore it may reduce the serum concentration and effectiveness of amiodarone.,,,,,,,,,,,,,,,,,,,,,,,,
Amiodarone,Take with or without food. The absorption is unaffected by food.,,,,,,,,,,,,,,,,,,,,,,,,
Terazosin,Take with or without food. A meal does not significantly affect the extent of absorption but delays Tmax by 40 minutes.,,,,,,,,,,,,,,,,,,,,,,,,
Flecainide,Take with or without food. The absorption is unaffected by food.,,,,,,,,,,,,,,,,,,,,,,,,
Quinidine,"Exercise caution with grapefruit products. Grapefruit may delay the absorption of quinidine, and inhibit its metabolism through CYP3A4.",,,,,,,,,,,,,,,,,,,,,,,,
Quinidine,Exercise caution with St. John's Wort.,,,,,,,,,,,,,,,,,,,,,,,,
Quinidine,Take separate from antacids. Antacids may reduce the absorption of quinidine.,,,,,,,,,,,,,,,,,,,,,,,,
Quinidine,Take with or without food. Taking quinidine with food may slow its absorption.,,,,,,,,,,,,,,,,,,,,,,,,
Colesevelam,Drink plenty of fluids.,,,,,,,,,,,,,,,,,,,,,,,,
Colesevelam,Take with food.,,,,,,,,,,,,,,,,,,,,,,,,
Procainamide,Avoid alcohol.,,,,,,,,,,,,,,,,,,,,,,,,
Procainamide,Take with food. Food reduces irritation.,,,,,,,,,,,,,,,,,,,,,,,,
Bezafibrate,Take with a full glass of water.,,,,,,,,,,,,,,,,,,,,,,,,
Bezafibrate,Take with food. Taking bezafibrate with food or after meals slows the absorption of bezafibrate.,,,,,,,,,,,,,,,,,,,,,,,,
Ezetimibe,Take with or without food. Co-administration with food does not affect absorption.,,,,,,,,,,,,,,,,,,,,,,,,
Lovastatin,Avoid grapefruit products. Grapefruit products may increase the risk for lovastatin related adverse effects such as myopathy and rhabdomyolysis.,,,,,,,,,,,,,,,,,,,,,,,,
Lovastatin,Take with food. Food increases bioavailability.,,,,,,,,,,,,,,,,,,,,,,,,
Fenofibrate,Take with food. Bioavailability is increased 2- to 3-fold when taken with food.,,,,,,,,,,,,,,,,,,,,,,,,
Atorvastatin,Avoid grapefruit products. Grapefruit products may increase the risk for atorvastatin related adverse effects such as myopathy and rhabdomyolysis.,,,,,,,,,,,,,,,,,,,,,,,,
Atorvastatin,Take with or without food. Food decreases absorption but not to a clinically significant extent.,,,,,,,,,,,,,,,,,,,,,,,,
Fluvastatin,Take with or without food. Should be taken consistently in regards to meals.,,,,,,,,,,,,,,,,,,,,,,,,
Gemfibrozil,Take before a meal. Take 30 minutes before meals.,,,,,,,,,,,,,,,,,,,,,,,,
Pravastatin,Take with or without food. Lipid lowering effects are similar in the fasting and fed state.,,,,,,,,,,,,,,,,,,,,,,,,
Chlorthalidone,Take with food. Food may increase bioavailability.,,,,,,,,,,,,,,,,,,,,,,,,
Acetazolamide,Drink plenty of fluids.,,,,,,,,,,,,,,,,,,,,,,,,
Acetazolamide,Take with food. Take at least 6 hours before bedtime.,,,,,,,,,,,,,,,,,,,,,,,,
Bumetanide,Take with food. Food reduces irritation.,,,,,,,,,,,,,,,,,,,,,,,,
Rosuvastatin,Take with or without food. Co-administration with food does not affect absorption.,,,,,,,,,,,,,,,,,,,,,,,,
Metolazone,Take with food. Food reduces irritation.,,,,,,,,,,,,,,,,,,,,,,,,
Furosemide,Avoid excessive or chronic alcohol consumption. Alcohol increases the risk of orthostatic hypotension.,,,,,,,,,,,,,,,,,,,,,,,,
Furosemide,"Avoid natural licorice. Avoid licorice in large amounts, as it may lead to hypokalemia.",,,,,,,,,,,,,,,,,,,,,,,,
Furosemide,Increase consumption of potassium-rich foods. This medication may cause potassium depletion. Foods containing potassium include bananas and orange juice.,,,,,,,,,,,,,,,,,,,,,,,,
Indapamide,Avoid alcohol. Alcohol may potentiate orthostatic hypotension.,,,,,,,,,,,,,,,,,,,,,,,,
Indapamide,Avoid alcohol. Alcohol may potentiate orthostatic hypotension.,,,,,,,,,,,,,,,,,,,,,,,,
Indapamide,Avoid alcohol. Alcohol may potentiate orthostatic hypotension.,,,,,,,,,,,,,,,,,,,,,,,,
Etacrynic acid,Take with food. Food reduces irritation.,,,,,,,,,,,,,,,,,,,,,,,,
Hydrochlorothiazide,Avoid alcohol. Alcohol may potentiate orthostatic hypotension.,,,,,,,,,,,,,,,,,,,,,,,,
Hydrochlorothiazide,"Avoid multivalent ions. Take this medication 2 hours before or after the administration of antacids, calcium supplements, or iron supplements to avoid decreased absorption of hydrochlorothiazide.",,,,,,,,,,,,,,,,,,,,,,,,
Hydrochlorothiazide,Avoid natural licorice. Licorice potentiates the hypokalemic effect of hydrochlorothiazide.,,,,,,,,,,,,,,,,,,,,,,,,
Hydrochlorothiazide,Increase consumption of potassium-rich foods. This medication may cause potassium depletion. Foods containing potassium include bananas and orange juice.,,,,,,,,,,,,,,,,,,,,,,,,
Hydrochlorothiazide,"Limit salt intake. Avoid excessive salt, unless recommended by a physician.",,,,,,,,,,,,,,,,,,,,,,,,
Hydrochlorothiazide,Take with or without food.,,,,,,,,,,,,,,,,,,,,,,,,
Torasemide,Take with or without food. Food delays the Cmax by 30 minutes but does not impact efficacy.,,,,,,,,,,,,,,,,,,,,,,,,
Triamterene,Avoid potassium-containing products. The risk of hyperkalemia can be increased with the intake of potassium supplementation or potassium-rich foods.,,,,,,,,,,,,,,,,,,,,,,,,
Spironolactone,Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.,,,,,,,,,,,,,,,,,,,,,,,,
Spironolactone,Take with or without food. Food increases the bioavailability of spironolactone by approximately 95.4%. It should be taken at a consistent time in regards to food.,,,,,,,,,,,,,,,,,,,,,,,,
Amiloride,Avoid drastic dietary changes.,,,,,,,,,,,,,,,,,,,,,,,,
Amiloride,Avoid natural licorice.,,,,,,,,,,,,,,,,,,,,,,,,
Amiloride,Avoid potassium-containing products.,,,,,,,,,,,,,,,,,,,,,,,,
Amiloride,Take with food. Food reduces irritation.,,,,,,,,,,,,,,,,,,,,,,,,
Polythiazide,Avoid alcohol. Alcohol may potentiate orthostatic hypotension.,,,,,,,,,,,,,,,,,,,,,,,,
Pentosan polysulfate,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Taking pentosan polysulfate with anticoagulant herbs may increase bleeding risk, which is an adverse effect of pentosan polysulfate.",,,,,,,,,,,,,,,,,,,,,,,,
Pentosan polysulfate,Take on an empty stomach. Take at least 1 hour before or 2 hours after meals.,,,,,,,,,,,,,,,,,,,,,,,,
Clopidogrel,Take with or without food.,,,,,,,,,,,,,,,,,,,,,,,,
Dipyridamole,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",,,,,,,,,,,,,,,,,,,,,,,,
Dipyridamole,"Avoid xanthines. Xanthines, found in coffee and tea, can reduce the effectiveness of this medication.",,,,,,,,,,,,,,,,,,,,,,,,
Dipyridamole,Take with or without food. Taking dipyridamole extrended release capusels with a high-fat meal minimally reduces it's AUC and Cmax.,,,,,,,,,,,,,,,,,,,,,,,,
Cilostazol,Avoid grapefruit products.,,,,,,,,,,,,,,,,,,,,,,,,
Cilostazol,Take on an empty stomach. A high fat meal will increase absorption.,,,,,,,,,,,,,,,,,,,,,,,,
Dabigatran etexilate,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",,,,,,,,,,,,,,,,,,,,,,,,
Dabigatran etexilate,Avoid St. John's Wort. This herb induces PGP which may reduce the serum levels of dabigatran.,,,,,,,,,,,,,,,,,,,,,,,,
Dabigatran etexilate,Take with a full glass of water.,,,,,,,,,,,,,,,,,,,,,,,,
Dabigatran etexilate,Take with or without food.,,,,,,,,,,,,,,,,,,,,,,,,
Ticlopidine,Take with a high fat meal. High fat meals will increase ticlopidine absorption.,,,,,,,,,,,,,,,,,,,,,,,,
Ticlopidine,Take with food. Food can help ticlopidine-induced stomach upset.,,,,,,,,,,,,,,,,,,,,,,,,
Warfarin,Avoid drastic dietary changes.,,,,,,,,,,,,,,,,,,,,,,,,
Warfarin,Avoid foods rich in vitamin K. Vitamin K in foods such as leafy vegetables can reduce warfarin efficacy.,,,,,,,,,,,,,,,,,,,,,,,,
Warfarin,"Avoid grapefruit products. They may interfere with warfarin metabolism and increase INR, increasing the risk of bleeding.",,,,,,,,,,,,,,,,,,,,,,,,
Warfarin,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",,,,,,,,,,,,,,,,,,,,,,,,
Warfarin,Avoid St. John's Wort. This drug may reduce warfarin efficacy.,,,,,,,,,,,,,,,,,,,,,,,,
Prasugrel,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",,,,,,,,,,,,,,,,,,,,,,,,
Prasugrel,Take with or without food.,,,,,,,,,,,,,,,,,,,,,,,,
Aliskiren,Do not take with or immediately after a high-fat meal. The absorption of aliskiren is substantially reduced by taking it with high-fat meals.,,,,,,,,,,,,,,,,,,,,,,,,
Aliskiren,Take with or without food. Take consistently at the same time in regard to meals.,,,,,,,,,,,,,,,,,,,,,,,,
Digoxin,Avoid multivalent ions. Calcium and aluminum containing products (including kaolin-pectin) may interfere with absorption) and digoxin administration must be separated by several hours.,,,,,,,,,,,,,,,,,,,,,,,,
Digoxin,Avoid potassium-containing products. They may cause arrhythmias when given with digoxin.,,,,,,,,,,,,,,,,,,,,,,,,
Digoxin,Avoid St. John's Wort. This drug can decrease digoxin levels.,,,,,,,,,,,,,,,,,,,,,,,,
Digoxin,Do not take with bran and high fiber foods. Separate administration of bran and high fiber foods from medication by at least 2 hours.,,,,,,,,,,,,,,,,,,,,,,,,
Bosentan,Take with or without food. The absorption is unaffected by food.,,,,,,,,,,,,,,,,,,,,,,,,
Eplerenone,Avoid grapefruit products. Grapefruit juice may increase the serum levels of eplerenone by 25% by inhibiting CYP3A4.,,,,,,,,,,,,,,,,,,,,,,,,
Eplerenone,Take with or without food.,,,,,,,,,,,,,,,,,,,,,,,,
Isosorbide dinitrate,Take with or without food. Food decreases drug absorption.,,,,,,,,,,,,,,,,,,,,,,,,
Hydralazine,"Take with or without food. Food increases exposure to hydralazine, though this may not be clinically significant.",,,,,,,,,,,,,,,,,,,,,,,,
Glyceryl Trinitrate,Avoid alcohol. Alcohol can increase the risk of hypotension.,,,,,,,,,,,,,,,,,,,,,,,,
Nitroglycerin,Avoid alcohol. Alcohol can increase the risk of hypotension.,,,,,,,,,,,,,,,,,,,,,,,,
Reserpine,Avoid alcohol.,,,,,,,,,,,,,,,,,,,,,,,,
Reserpine,Take with food. Food reduces irritation.,,,,,,,,,,,,,,,,,,,,,,,,
Mecamylamine,Avoid excessive or chronic alcohol consumption. The ingestion of alcohol may potentiate the actions of mecamylamine.,,,,,,,,,,,,,,,,,,,,,,,,
Mecamylamine,Take after a meal. This slows mecamylamine absorption allowing for a gradual reduction in blood pressure. Take consistently at the same time in regard to meals.,,,,,,,,,,,,,,,,,,,,,,,,
Pentoxifylline,Limit caffeine intake.,,,,,,,,,,,,,,,,,,,,,,,,
Pentoxifylline,"Take with food. Administration with food may reduce irritation. Co-administration with food modestly increases the mean pentoxifylline AUC and maximum plasma concentrations (1.1- and 1.3-fold, respectively) achieved with an extended-release tablet.",,,,,,,,,,,,,,,,,,,,,,,,
Polythiazide,Avoid alcohol. Alcohol may potentiate orthostatic hypotension.,,,,,,,,,,,,,,,,,,,,,,,,
Ivabradine,Avoid grapefruit products.,,,,,,,,,,,,,,,,,,,,,,,,
Acarbose,Take with food. Each dose should be taken with the first bite of a main meal.,,,,,,,,,,,,,,,,,,,,,,,,
Acamprosate,"Take with or without food. Food decreases drug absorption, but not to a clinically significant extent.",,,,,,,,,,,,,,,,,,,,,,,,
Abacavir,Avoid alcohol. Alcohol increases the systemic exposure to the drug.,,,,,,,,,,,,,,,,,,,,,,,,
Abacavir,Take with or without food. The absorption is unaffected by food.,,,,,,,,,,,,,,,,,,,,,,,,
Acebutolol,"Take with or without food. Food decreases absorption rate and maximum concentration, but not to a clinically significant extent.",,,,,,,,,,,,,,,,,,,,,,,,
Acetohydroxamic acid,Avoid alcohol. Concomitant use of acetohydroxamic acid with alcohol may cause a rash.,,,,,,,,,,,,,,,,,,,,,,,,
Acetohydroxamic acid,"Avoid iron supplements. Acetohydroxamic acid chelates iron, therefore oral supplementation of iron will reduce levels of both iron and acetohydroxamic acid.",,,,,,,,,,,,,,,,,,,,,,,,
Acetohydroxamic acid,Take on an empty stomach.,,,,,,,,,,,,,,,,,,,,,,,,
Acyclovir,Drink plenty of fluids. Dehydration with acyclovir predisposes patients to nephrotoxicity.,,,,,,,,,,,,,,,,,,,,,,,,
Acyclovir,Take with or without food. The absorption is unaffected by food.,,,,,,,,,,,,,,,,,,,,,,,,
Acetazolamide,Drink plenty of fluids.,,,,,,,,,,,,,,,,,,,,,,,,
Acetazolamide,Take with food. Take at least 6 hours before bedtime.,,,,,,,,,,,,,,,,,,,,,,,,
Activated charcoal,Take with or without food. Give a higher dose of activated charcoal if it is administered after a large meal.,,,,,,,,,,,,,,,,,,,,,,,,
Alfuzosin,Take after a meal. Take alfuzosin after the same meal everyday. Do not take on an empty stomach.,,,,,,,,,,,,,,,,,,,,,,,,
Albendazole,Take with a high fat meal. A high fat meal increases solubility and absorption. Take with food when treating systemic infections.,,,,,,,,,,,,,,,,,,,,,,,,
Alendronic acid,Administer vitamin supplements. Patients may require supplemental vitamin D.,,,,,,,,,,,,,,,,,,,,,,,,
Alendronic acid,"Avoid multivalent ions. Calcium, antacids, and divalent ions may interfere with the absorption of this medication.",,,,,,,,,,,,,,,,,,,,,,,,
Alendronic acid,Take before a meal. Take 30-60 minutes before breakfast.,,,,,,,,,,,,,,,,,,,,,,,,
Alendronic acid,Take with a full glass of water.,,,,,,,,,,,,,,,,,,,,,,,,
Adefovir dipivoxil,Take with or without food. The absorption is unaffected by food.,,,,,,,,,,,,,,,,,,,,,,,,
Aliskiren,Do not take with or immediately after a high-fat meal. The absorption of aliskiren is substantially reduced by taking it with high-fat meals.,,,,,,,,,,,,,,,,,,,,,,,,
Aliskiren,Take with or without food. Take consistently at the same time in regard to meals.,,,,,,,,,,,,,,,,,,,,,,,,
Alprazolam,Avoid alcohol. Alcohol may potentiate the CNS depressant effects of this drug.,,,,,,,,,,,,,,,,,,,,,,,,
Alprazolam,Avoid grapefruit products.,,,,,,,,,,,,,,,,,,,,,,,,
Alprazolam,Limit caffeine intake.,,,,,,,,,,,,,,,,,,,,,,,,
Alprazolam,"Take with or without food. Food increases the Cmax of extended release alprazolam by 25%, but the AUC and half life are not affected.",,,,,,,,,,,,,,,,,,,,,,,,
Allopurinol,Avoid alcohol.,,,,,,,,,,,,,,,,,,,,,,,,
Allopurinol,Take with a full glass of water.,,,,,,,,,,,,,,,,,,,,,,,,
Allopurinol,Take with food.,,,,,,,,,,,,,,,,,,,,,,,,
Almotriptan,Take with or without food. The absorption is unaffected by food.,,,,,,,,,,,,,,,,,,,,,,,,
Alosetron,Take with or without food. The absorption is unaffected by food.,,,,,,,,,,,,,,,,,,,,,,,,
Aluminum hydroxide,Avoid foods rich in citrate. Citrate may increase the absorption of aluminum and has the potential to cause toxicity.,,,,,,,,,,,,,,,,,,,,,,,,
Amlodipine,Avoid grapefruit products.,,,,,,,,,,,,,,,,,,,,,,,,
Amlodipine,Avoid grapefruit products.,,,,,,,,,,,,,,,,,,,,,,,,
Amlodipine,Take with or without food. The absorption is unaffected by food.,,,,,,,,,,,,,,,,,,,,,,,,
Amiloride,Avoid drastic dietary changes.,,,,,,,,,,,,,,,,,,,,,,,,
Amiloride,Avoid natural licorice.,,,,,,,,,,,,,,,,,,,,,,,,
Amiloride,Avoid potassium-containing products.,,,,,,,,,,,,,,,,,,,,,,,,
Amiloride,Take with food. Food reduces irritation.,,,,,,,,,,,,,,,,,,,,,,,,
Amiodarone,"Avoid grapefruit products. Grapefruit inhibits CYP3A4 metabolism, which may increase the serum concentration of amiodarone.",,,,,,,,,,,,,,,,,,,,,,,,
Amiodarone,Avoid St. John's Wort. This herb induces the CYP3A4 metabolism of amiodarone. Therefore it may reduce the serum concentration and effectiveness of amiodarone.,,,,,,,,,,,,,,,,,,,,,,,,
Amiodarone,Take with or without food. The absorption is unaffected by food.,,,,,,,,,,,,,,,,,,,,,,,,
Aminosalicylic acid,Take with or without food. The absorption is unaffected by food.,,,,,,,,,,,,,,,,,,,,,,,,
Ampicillin,Take on an empty stomach.,,,,,,,,,,,,,,,,,,,,,,,,
Aprepitant,Take with or without food. The absorption is unaffected by food.,,,,,,,,,,,,,,,,,,,,,,,,
Clavulanic acid,Take with food. Take at the beginning of a meal to reduce gastric irritation.,,,,,,,,,,,,,,,,,,,,,,,,
Amoxicillin,Take with food.,,,,,,,,,,,,,,,,,,,,,,,,
Anastrozole,"Take with or without food. Co-administration with food reduces the rate, but not the overall extent, of absorption.",,,,,,,,,,,,,,,,,,,,,,,,
Astemizole,Take on an empty stomach. Food decreases absorption.,,,,,,,,,,,,,,,,,,,,,,,,
Acetylsalicylic acid,Avoid alcohol. Alcohol increases the risk of gastrointestinal bleeding.,,,,,,,,,,,,,,,,,,,,,,,,
Acetylsalicylic acid,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",,,,,,,,,,,,,,,,,,,,,,,,
Acetylsalicylic acid,Take after a meal. This reduces irritating gastrointestinal effects.,,,,,,,,,,,,,,,,,,,,,,,,
Acetylsalicylic acid,Take with a full glass of water.,,,,,,,,,,,,,,,,,,,,,,,,
Atazanavir,Take with food. Food increases product absorption and reduces pharmacokinetic variability.,,,,,,,,,,,,,,,,,,,,,,,,
Aripiprazole,Avoid alcohol. Alcohol may increase CNS effects.,,,,,,,,,,,,,,,,,,,,,,,,
Aripiprazole,Drink plenty of fluids. Drink water to avoid dehydration while taking aripiprazole.,,,,,,,,,,,,,,,,,,,,,,,,
Aripiprazole,Take with or without food. Food does not affect absorption.,,,,,,,,,,,,,,,,,,,,,,,,
Artemether,Avoid grapefruit products.,,,,,,,,,,,,,,,,,,,,,,,,
Artemether,Take with food. Food increases absorption.,,,,,,,,,,,,,,,,,,,,,,,,
Lumefantrine,Avoid grapefruit products.,,,,,,,,,,,,,,,,,,,,,,,,
Lumefantrine,Take with food. Food increases absorption.,,,,,,,,,,,,,,,,,,,,,,,,
Atomoxetine,Take with or without food.,,,,,,,,,,,,,,,,,,,,,,,,
Auranofin,Take with food. Food reduces irritation.,,,,,,,,,,,,,,,,,,,,,,,,
Atorvastatin,Avoid grapefruit products. Grapefruit products may increase the risk for atorvastatin related adverse effects such as myopathy and rhabdomyolysis.,,,,,,,,,,,,,,,,,,,,,,,,
Atorvastatin,Take with or without food. Food decreases absorption but not to a clinically significant extent.,,,,,,,,,,,,,,,,,,,,,,,,
